step	pg2
0	0.00029943529411764703
1	0.0005825549294117647
2	0.0008456765647058824
3	0.000819009
4	0.000789012
5	0.000759015
6	0.000729018
7	0.0006990209999999999
8	0.000669024
9	0.0006390269999999999
10	0.00060903
11	0.000579033
12	0.0005490359999999999
13	0.0005190389999999999
14	0.000489042
15	0.000459045
16	0.000429048
17	0.000399051
18	0.000369054
19	0.00033905700000000003
20	0.00030906
21	0.000279063
22	0.00024906600000000004
23	0.00021906899999999996
24	0.00018907199999999995
25	0.00015907499999999995
26	0.00012907799999999997
27	9.908099999999997e-05
28	6.908399999999998e-05
29	3.9086999999999994e-05
